
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002138                       # Number of seconds simulated (Second)
simTicks                                   2137917000                       # Number of ticks simulated (Tick)
finalTick                                  2137917000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.66                       # Real time elapsed on the host (Second)
hostTickRate                                 90361183                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     924580                       # Number of bytes of host memory used (Byte)
simInsts                                      6436803                       # Number of instructions simulated (Count)
simOps                                       10693060                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   272057                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     451951                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4275835                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10851974                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      135                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10809481                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     97                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               159008                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            257105                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 111                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4063346                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.660241                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.233489                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::SimdCvt         1191      0.01%     71.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc          911      0.01%     71.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     71.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     71.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift          356      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     71.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead      2258436     20.89%     92.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite       818264      7.57%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead         1476      0.01%     99.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite          670      0.01%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       10809481                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.528040                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               43600                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.004033                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 25712975                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                11001757                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        10790975                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     13027                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                     9497                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             6112                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    10843953                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         6562                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          10801255                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       2257167                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      8223                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            3075766                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         650962                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       818599                       # Number of stores executed (Count)
system.cpu.numRate                           2.526116                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                            2432                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          212489                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     6436803                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      10693060                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.664279                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.664279                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.505391                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.505391                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   13662058                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   8985133                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                        9611                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                       4879                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     2454669                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    3068852                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   4835585                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        2263400                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        820307                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      1004296                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         8965                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  674734                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            461208                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              5112                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               479810                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  478908                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.998120                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  101950                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  7                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             904                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                280                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              624                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          270                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.loop_predictor.correct       426089                       # Number of times the loop predictor is the provider and the prediction is correct (Count)
system.cpu.branchPred.loop_predictor.wrong         8964                       # Number of times the loop predictor is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.longestMatchProviderCorrect       390297                       # Number of times TAGE Longest Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.altMatchProviderCorrect         1466                       # Number of times TAGE Alt Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderCorrect          376                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalProviderCorrect        39114                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWrong         1862                       # Number of times TAGE Longest Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWrong          789                       # Number of times TAGE Alt Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderWrong          158                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalProviderWrong          991                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWouldHaveHit          421                       # Number of times TAGE Longest Match is the provider, the prediction is wrong and Alt Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWouldHaveHit          556                       # Number of times TAGE Alt Match is the provider, the prediction is wrong and Longest Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProvider::0            0                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::1        25501                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::2         3649                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::3        10651                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::4        19574                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::5        29061                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::6        26418                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::7         4888                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::8        17554                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::9        16356                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::10        19616                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::11        30870                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::12       190276                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.altMatchProvider::0        29230                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::1        22537                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::2         3888                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::3        11867                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::4        31979                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::5        22299                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::6        28962                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::7         3554                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::8         7516                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::9        16559                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::10        25796                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::11       190227                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::12            0                       # TAGE provider for alt match (Count)
system.cpu.commit.commitSquashedInsts          157119                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              24                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              4799                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      4040105                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.646728                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.021811                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         1296805     32.10%     32.10% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          743820     18.41%     50.51% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          613841     15.19%     65.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          414431     10.26%     75.96% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           29168      0.72%     76.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           17871      0.44%     77.13% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           10283      0.25%     77.38% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          100548      2.49%     79.87% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          813338     20.13%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
